microherbivore_species;n;organ;role;phase
Selidosema brunnearia;20;L;V;NA
Selidosema plumaria;6;L;V;NA
Selidosema taeniolaria;15;L;V;NA
Semanotus laurasii;9;DW;B;NA
Semanotus russicus;11;DW;B;NA
Semanotus undatus;1;DW;B;NA
Semiaphis anthrisci;8;L;G;NA
Semiaphis cervariae;2;L;G;NA
Semiaphis dauci;4;L;V;NA
Semiaphis dauci seselii;3;L;V;NA
Semiaphis horvathi;2;S;V;NA
Semiaphis noli-tangere;2;L;G;summer
Semiaphis pastinacae;1;L;V;NA
Semiaphis pimpinellae;3;L;G;NA
Semiaphis sphondylii;4;L;V;summer
Semioscopis avellanella;3;L;H;NA
Semioscopis oculella;1;L;H;NA
Semioscopis steinkellneriana;4;L;H;NA
Semioscopis strigulana;1;L;H;NA
Semnosia herminae;2;S;B;NA
Semnosia interrupta;1;S;B;NA
Semudobia betulae;3;F;G;NA
Semudobia skuhravae;2;X;G;NA
Semudobia tarda;2;F;G;NA
Senta flammea;1;L;V;NA
Septocylindrium anemones;2;L;F;NA
Septocylindrium polygonati;1;L;F;NA
Septocylindrium secalis;1;L;F;NA
Septocyta ruborum;3;S;F;NA
Septogloeum ailanthi;1;L;F;NA
Septogloeum carthusianum;1;L;F;NA
Septogloeum cynanchi;1;L;F;NA
Septogloeum nerii;1;L;F;NA
Septogloeum pastinacae;1;L;F;NA
Septogloeum pistaciae;1;L;F;NA
Septogloeum pteridis;1;L;F;NA
Septogloeum salicis;1;L;F;NA
Septogloeum savulescui;1;L;F;NA
Septonema acicola;1;L;F;NA
Septoria abutilonis;1;L;F;NA
Septoria acaciae;1;L;F;NA
Septoria acanthi;1;L;F;NA
Septoria acanthina;1;L;F;NA
Septoria acerella;1;L;F;NA
Septoria acerina;1;L;F;NA
Septoria acetosae;3;L;F;NA
Septoria achilleicola;1;L;F;NA
Septoria achyranthis;1;L;F;NA
Septoria aciculosa;1;L;F;NA
Septoria adenophorae;1;L;F;NA
Septoria aderholdii;1;L;F;NA
Septoria adonidis;1;L;F;NA
Septoria aegopodii;2;L;F;NA
Septoria aegopodina;1;L;F;NA
Septoria aetheorrhizae;1;L;F;NA
Septoria aethusae;1;L;F;NA
Septoria affinis;3;L;F;NA
Septoria agrimoniae-eupatoriae;2;L;F;NA
Septoria agrimoniicola;1;L;F;NA
Septoria ajugae;1;L;F;NA
Septoria albanica;1;L;F;NA
Septoria alchemillae;1;L;F;NA
Septoria alliariae;1;L;F;NA
Septoria alliorum;1;L;F;NA
Septoria alni;1;L;F;NA
Septoria alnigena;1;L;F;NA
Septoria alopecuri-agrestis;1;L;F;NA
Septoria alpicola;2;L;F;NA
Septoria ambigua;1;L;F;NA
Septoria amicabilis;1;L;F;NA
Septoria ammophilae;1;L;F;NA
Septoria ampelina;1;L;F;NA
Septoria anarrhina;1;L;F;NA
Septoria anaxaea;1;L;F;NA
Septoria anaxeoides;1;L;F;NA
Septoria anchusae;1;L;F;NA
Septoria anemones;1;L;F;NA
Septoria anthrisci;2;L;F;NA
Septoria anthyllidicola;1;L;F;NA
Septoria anthyllidis;1;L;F;NA
Septoria antirrhini;1;L;F;NA
Septoria apiicola;3;L;F;NA
Septoria aquilegiae;1;L;F;NA
Septoria aquilina;1;L;F;NA
Septoria arbuti;1;L;F;NA
Septoria arbutina;1;L;F;NA
Septoria arcautei;1;L;F;NA
Septoria arethusa;1;L;F;NA
Septoria aristolochiae var. maculicola;1;L;F;NA
Septoria armeriae;1;L;F;NA
Septoria armoraciae;1;L;F;NA
Septoria arnicae;1;L;F;NA
Septoria arnoseridis;1;L;F;NA
Septoria aromatica;1;L;F;NA
Septoria arrhenathreri;1;L;F;NA
Septoria artemisiae;4;L;F;NA
Septoria artemisiae-maritimae;2;L;F;NA
Septoria arunci;1;L;F;NA
Septoria asaricola;1;L;F;NA
Septoria asclepiadea;2;L;F;NA
Septoria ascochytella;1;L;F;NA
Septoria ascochytoides;1;L;F;NA
Septoria asperulae-taurinae;1;L;F;NA
Septoria asplenii;1;L;F;NA
Septoria associata;2;L;F;NA
Septoria astericola;2;L;F;NA
Septoria asterina;1;L;F;NA
Septoria asterinum;1;L;F;NA
Septoria astragali;1;L;F;NA
Septoria aucubae;1;L;F;NA
Septoria azaleae;1;L;F;NA
Septoria balloticola;1;L;F;NA
Septoria balsaminae;1;L;F;NA
Septoria baudysiana;1;L;F;NA
Septoria bellidicola;1;L;F;NA
Septoria berteroae;1;L;F;NA
Septoria besseyi;1;L;F;NA
Septoria betulae-odoratae;1;L;F;NA
Septoria betulina;2;L;F;NA
Septoria bidentis;1;L;F;NA
Septoria bolivari;1;L;F;NA
Septoria brachypodiicola;1;L;F;NA
Septoria brachypodina;1;L;F;NA
Septoria brachyspora;1;L;F;NA
Septoria bractearum;1;L;F;NA
Septoria bresadoleana;1;L;F;NA
Septoria brizae;1;L;F;NA
Septoria bromi;1;L;F;NA
Septoria brunellae;1;L;F;NA
Septoria buniadis;1;L;F;NA
Septoria buphthalmi;1;L;F;NA
Septoria bupleuricola;1;L;F;NA
Septoria caerulescens;1;L;F;NA
Septoria cajadensis;1;L;F;NA
Septoria calamagrostidis;8;L;F;NA
Septoria calaminthae;2;L;F;NA
Septoria calendulae;1;L;F;NA
Septoria callae;1;L;F;NA
Septoria callistephi;1;L;F;NA
Septoria calystegiae;2;L;F;NA
Septoria camelinae;1;L;F;NA
Septoria campanulae;1;L;F;NA
Septoria cannabina;1;L;F;NA
Septoria cannabis;1;L;F;NA
Septoria capparidis;1;L;F;NA
Septoria caraganae;1;L;F;NA
Septoria cardamines;1;L;F;NA
Septoria cardamines-resedifoliae;1;L;F;NA
Septoria cardunculi;1;L;F;NA
Septoria caricinella;1;L;F;NA
Septoria caricis;7;L;F;NA
Septoria caricis-montanae;1;L;F;NA
Septoria carisolensis;1;L;F;NA
Septoria carlinae;1;L;F;NA
Septoria carotae;1;L;F;NA
Septoria carrubi;2;L;F;NA
Septoria carthamicola;1;L;F;NA
Septoria carthusianorum;3;L;F;NA
Septoria carvi;1;L;F;NA
Septoria catariae;1;L;F;NA
Septoria cathartica;1;L;F;NA
Septoria celtidis;1;L;F;NA
Septoria centaureae;1;L;F;NA
Septoria centranthicola;1;L;F;NA
Septoria centrophylli;1;L;F;NA
Septoria cephalariae-alpinae;1;L;F;NA
Septoria cerastii;5;L;F;NA
Septoria chaenorrhini;1;L;F;NA
Septoria chaerophylli;1;L;F;NA
Septoria chaerophylli-aromatici;1;L;F;NA
Septoria chamaecysti;1;L;F;NA
Septoria chanousiana;1;L;F;NA
Septoria cheiranthi;1;L;F;NA
Septoria cheiriana;1;L;F;NA
Septoria chelidonii;1;L;F;NA
Septoria chrysanthemella;2;L;F;NA
Septoria chrysanthemi-rotundifolii;1;L;F;NA
Septoria cichori;1;L;F;NA
Septoria cirrosae;1;L;F;NA
Septoria cirsii;1;L;F;NA
Septoria cirsii-heterophylli;2;L;F;NA
Septoria cisti;1;L;F;NA
Septoria citrullicola;1;L;F;NA
Septoria clematidis;1;L;F;NA
Septoria clematidis-flammulae;1;L;F;NA
Septoria clematidis-rectae;1;L;F;NA
Septoria colchici;1;L;F;NA
Septoria colchici 2;1;L;F;NA
Septoria coleostephi;1;L;F;NA
Septoria collinae;1;L;F;NA
Septoria commutata;1;L;F;NA
Septoria conii;1;L;F;NA
Septoria convolvuli;2;L;F;NA
Septoria convolvuli var. convolvuli-persici;1;L;F;NA
Septoria convolvuli var. soldanellae;1;L;F;NA
Septoria coriariae;1;L;F;NA
Septoria cornina;1;L;F;NA
Septoria corollae;1;X;F;NA
Septoria crataegi;1;L;F;NA
Septoria crataegicola;1;L;F;NA
Septoria crataegophila;1;L;F;NA
Septoria crepidis;1;L;F;NA
Septoria crepidis-virentis;1;L;F;NA
Septoria cruciatae;7;L;F;NA
Septoria cucubali;2;L;F;NA
Septoria cucumis;1;L;F;NA
Septoria cucurbitacearum;4;L;F;NA
Septoria cucurbitae;1;L;F;NA
Septoria cupheae;1;L;F;NA
Septoria cyani;1;L;F;NA
Septoria cyclaminis;1;L;F;NA
Septoria cydoniae;1;L;F;NA
Septoria cydonicola;1;L;F;NA
Septoria cymbalariae;1;L;F;NA
Septoria cymbalarina;1;L;F;NA
Septoria cynodontis;1;L;F;NA
Septoria cytisi;5;L;F;NA
Septoria cytisi-hirsuti;1;L;F;NA
Septoria cytisina;1;L;F;NA
Septoria czarnohorica;1;L;F;NA
Septoria dacica;1;L;F;NA
Septoria dalmatica;1;L;F;NA
Septoria daucina;1;L;F;NA
Septoria delphinella;1;L;F;NA
Septoria delphinii;1;L;F;NA
Septoria dianthicola;1;L;F;NA
Septoria didyma;1;L;F;NA
Septoria didyma f. santonensis;1;L;F;NA
Septoria diedickeana;1;L;F;NA
Septoria diedickei;2;L;F;NA
Septoria diffusa;1;L;F;NA
Septoria digitalicola;1;L;F;NA
Septoria digitalis;1;L;F;NA
Septoria dimera;1;L;F;NA
Septoria diplotaxis;1;L;F;NA
Septoria dipsaci;1;L;F;NA
Septoria distachya;1;S;P;NA
Septoria doronici;1;L;F;NA
Septoria dryophila;1;L;F;NA
Septoria dulcamarae;1;L;F;NA
Septoria dysentericae;1;L;F;NA
Septoria ebuli;1;L;F;NA
Septoria echinopis;1;L;F;NA
Septoria elaeospora;1;L;F;NA
Septoria elymi;1;L;F;NA
Septoria elymi-europaei;1;L;F;NA
Septoria emeri;1;L;F;NA
Septoria endiviae;1;L;F;NA
Septoria epilobii;3;L;F;NA
Septoria epipactidis;1;L;F;NA
Septoria erigerontis;2;L;F;NA
Septoria eriobotryae;1;L;F;NA
Septoria erythronii;1;L;F;NA
Septoria escallonia;2;L;F;NA
Septoria euonymi;1;L;F;NA
Septoria eupatorii;1;L;F;NA
Septoria euphorbiae;1;L;F;NA
Septoria euphorbiae-nicaeaensis;1;L;F;NA
Septoria expansa;1;L;F;NA
Septoria fairmanii;1;L;F;NA
Septoria festucae;1;L;F;NA
Septoria ficariae;2;L;F;NA
Septoria flammulae;1;L;F;NA
Septoria fragariaecola;1;L;F;NA
Septoria frangulae;1;L;F;NA
Septoria fuchsiae;1;L;F;NA
Septoria fuchsiicola;1;L;F;NA
Septoria fulvescens;2;L;F;NA
Septoria fusispora;2;L;F;NA
Septoria galegae-orientalis;1;L;F;NA
Septoria galeobdoli;1;L;F;NA
Septoria galeopsidis;6;L;F;NA
Septoria galinsogae;1;L;F;NA
Septoria gardeniae;1;L;F;NA
Septoria gentianicola;1;L;F;NA
Septoria geranii;4;L;F;NA
Septoria gerberae;1;L;F;NA
Septoria gladioli;3;L;F;NA
Septoria globosa;1;L;F;NA
Septoria globulariae;1;L;F;NA
Septoria glomerata;1;L;F;NA
Septoria glycines;1;L;F;NA
Septoria gomphocarpi;1;L;F;NA
Septoria gracilis;1;L;F;NA
Septoria gratiolae;1;L;F;NA
Septoria grylli;1;L;F;NA
Septoria guepini;1;L;F;NA
Septoria gymnadeniae;1;L;F;NA
Septoria gypsophilae;1;L;F;NA
Septoria hariotiana;3;L;F;NA
Septoria hedericola;1;L;F;NA
Septoria helenii;1;L;F;NA
Septoria helianthi;1;L;F;NA
Septoria helianthina;1;L;F;NA
Septoria henningsiana;1;L;F;NA
Septoria henriquesii;1;L;F;NA
Septoria henryana;1;L;F;NA
Septoria heraclei;2;L;F;NA
Septoria heracleicola;1;L;F;NA
Septoria heterochroa;2;L;F;NA
Septoria hibisci;1;L;F;NA
Septoria hispanica;1;L;F;NA
Septoria hotejae;1;L;F;NA
Septoria hoyae;1;L;F;NA
Septoria hydrangeae;1;L;F;NA
Septoria hydrocotyles;1;L;F;NA
Septoria hymenocarpi;1;L;F;NA
Septoria hyoscyami;1;L;F;NA
Septoria hypochaeridis;1;L;F;NA
Septoria hypochoeridis;1;L;F;NA
Septoria hypoglossi;1;L;F;NA
Septoria iberidis;1;NA;NA;NA
Septoria ignatiana;1;L;F;NA
Septoria ilicifolia;1;L;F;NA
Septoria incondita;1;L;F;NA
Septoria inconspicua;2;L;F;NA
Septoria inulae;1;L;F;NA
Septoria iridis;1;L;F;NA
Septoria iridis-japonicae;1;L;F;NA
Septoria isatidis;1;L;F;NA
Septoria jasiones;1;L;F;NA
Septoria jasionicola;1;L;F;NA
Septoria jasmini;1;L;F;NA
Septoria jussiaeacea;1;L;F;NA
Septoria kaznowskii;1;L;F;NA
Septoria kozo-poljanskii;1;L;F;NA
Septoria laburni;1;L;F;NA
Septoria lachastreana;1;L;F;NA
Septoria lactucae;3;L;F;NA
Septoria lactucina;1;L;F;NA
Septoria lallemantiae;1;L;F;NA
Septoria lamiicola;3;L;F;NA
Septoria lapadensis;1;L;F;NA
Septoria lapparum;1;L;F;NA
Septoria lapsanae;1;L;F;NA
Septoria laubertiana;1;L;F;NA
Septoria lavandulae;2;L;F;NA
Septoria leguminum;2;F;F;NA
Septoria leontodontis;1;L;F;NA
Septoria lepidii;2;L;F;NA
Septoria leucanthemi;6;L;F;NA
Septoria levistici;1;L;F;NA
Septoria leycesteriae;1;L;F;NA
Septoria libanotidis;1;L;F;NA
Septoria ligustri;1;L;F;NA
Septoria limonum;1;L;F;NA
Septoria linnaeae;1;L;F;NA
Septoria linosyris;1;L;F;NA
Septoria littorea;1;L;F;NA
Septoria lobeliae;1;L;F;NA
Septoria lobeliae-syphiliticae;1;L;F;NA
Septoria longispora;1;L;F;NA
Septoria lonicerae;1;L;F;NA
Septoria losae;1;L;F;NA
Septoria loti;1;L;F;NA
Septoria luzulae;1;L;F;NA
Septoria lycii;1;L;F;NA
Septoria lycoctoni;3;L;F;NA
Septoria lycopersici;1;L;F;NA
Septoria lycopi;1;L;F;NA
Septoria lysimachiae;2;L;F;NA
Septoria lysimachiae f. rhaphidospora;1;L;F;NA
Septoria lythrina;1;L;F;NA
Septoria maclurae;1;L;F;NA
Septoria macrophomospora;1;L;F;NA
Septoria macropoda;1;L;F;NA
Septoria magnusiana;1;L;F;NA
Septoria mahoniae;1;L;F;NA
Septoria maianthermi;1;L;F;NA
Septoria maireana;1;L;F;NA
Septoria majalis;1;L;F;NA
Septoria marmorata;1;L;F;NA
Septoria martianoffiana;1;L;F;NA
Septoria massalongiana;1;L;F;NA
Septoria matricariae;1;L;F;NA
Septoria melampyri;2;L;F;NA
Septoria meliae;1;L;F;NA
Septoria melianthi;1;L;F;NA
Septoria melicae;1;L;F;NA
Septoria melissae;1;L;F;NA
Septoria mellittidis;1;L;F;NA
Septoria melongenae;1;L;F;NA
Septoria menthae;1;L;F;NA
Septoria menyanthis;1;L;F;NA
Septoria menziesiae;1;L;F;NA
Septoria mercurialis;1;L;F;NA
Septoria mespili;1;L;F;NA
Septoria microlonchi;1;L;F;NA
Septoria microsora;1;L;F;NA
Septoria mimuli;1;L;F;NA
Septoria moesiaca;1;L;F;NA
Septoria mougeotii;2;L;F;NA
Septoria mulgedii;1;L;F;NA
Septoria murina;1;L;F;NA
Septoria muscari;1;L;F;NA
Septoria myosotidis;1;L;F;NA
Septoria myricae;1;L;F;NA
Septoria myriotheca;1;L;F;NA
Septoria nannizzii;1;L;F;NA
Septoria napelli;1;L;F;NA
Septoria narcissi;1;L;F;NA
Septoria negundinicola;1;L;F;NA
Septoria negundinis;1;L;F;NA
Septoria noli-tangere;1;L;F;NA
Septoria nupharis;1;L;F;NA
Septoria obesa;2;L;F;NA
Septoria obscura;1;L;F;NA
Septoria obscurata;1;L;F;NA
Septoria odontitis;1;L;F;NA
Septoria oenanthes;1;L;F;NA
Septoria oenotherae;2;L;F;NA
Septoria oleae;1;L;F;NA
Septoria oleaginea;1;F;F;NA
Septoria oleandrina;1;L;F;NA
Septoria oligocarpa;1;L;F;NA
Septoria onobrychidis;1;L;F;NA
Septoria onopordonis;1;L;F;NA
Septoria orchidearum;5;L;F;NA
Septoria orchidearum var. listerae;1;L;F;NA
Septoria oreophila;1;L;F;NA
Septoria origanicola;1;L;F;NA
Septoria origanicola var. majoranae;1;L;F;NA
Septoria orni;1;L;F;NA
Septoria ornithogali;1;L;F;NA
Septoria osmanthi;1;L;F;NA
Septoria oxalidis;1;L;F;NA
Septoria oxytropeos;1;L;F;NA
Septoria paeoniae;1;L;F;NA
Septoria parasitica;1;L;F;NA
Septoria paridis;3;L;F;NA
Septoria parnassiae;1;L;F;NA
Septoria pastinacae;1;L;F;NA
Septoria paulowniae;1;L;F;NA
Septoria pentandrina;1;L;F;NA
Septoria penzigii;1;L;F;NA
Septoria periplocae;1;L;F;NA
Septoria petroselini;3;L;F;NA
Septoria phalaridis;1;L;F;NA
Septoria phaseoli;1;L;F;NA
Septoria phillyreae;1;L;F;NA
Septoria phleina;1;L;F;NA
Septoria phlogis;1;L;F;NA
Septoria phlomidis;1;L;F;NA
Septoria phlomidis-herbae-venti;1;L;F;NA
Septoria phragmitis;1;L;F;NA
Septoria phyllachoroides;5;L;F;NA
Septoria phyllostichoides;1;L;F;NA
Septoria phyteumatis;2;L;F;NA
Septoria phyteumatum;3;L;F;NA
Septoria phytolaccae;1;L;F;NA
Septoria pinzolensis;1;L;F;NA
Septoria pisi;1;L;F;NA
Septoria pistaciae;1;L;F;NA
Septoria pistaciarum;2;L;F;NA
Septoria pittospori;1;L;F;NA
Septoria planiuscula;1;L;F;NA
Septoria plantaginis;1;L;F;NA
Septoria plantaginis-majoris;2;L;F;NA
Septoria podolica;1;L;F;NA
Septoria polaris;1;L;F;NA
Septoria polemonii;1;L;F;NA
Septoria polygalicola;1;L;F;NA
Septoria polygonati;1;L;F;NA
Septoria polygonorum;4;L;F;NA
Septoria posoniensis;1;L;F;NA
Septoria primulae-latifoliae;1;L;F;NA
Septoria primulicola;1;L;F;NA
Septoria prismatocarpi;1;L;F;NA
Septoria prostrata;1;L;F;NA
Septoria protearum;8;L;F;NA
Septoria pteridicola;1;L;F;NA
Septoria pulmonariae;1;L;F;NA
Septoria putrida;1;L;F;NA
Septoria pyrenaica;1;L;F;NA
Septoria quercus;1;L;F;NA
Septoria rajkoffi;1;L;F;NA
Septoria ranojevicii;1;L;F;NA
Septoria ranojevicii var. allii-obliqui;1;L;F;NA
Septoria ranunculacearum;1;L;F;NA
Septoria ranunculi;1;L;F;NA
Septoria ranunculi-repentis;1;L;F;NA
Septoria recondita var. quercicola;1;L;F;NA
Septoria repanda;1;L;F;NA
Septoria rhamni;1;L;F;NA
Septoria rhamnigena;1;L;F;NA
Septoria rhea;1;L;F;NA
Septoria rhododendri;1;L;F;NA
Septoria rhodotypi;1;L;F;NA
Septoria rhoeadis;1;L;F;NA
Septoria rhoina;2;L;F;NA
Septoria rhois-verniciferae;1;L;F;NA
Septoria ribis;4;L;F;NA
Septoria rivini;1;L;F;NA
Septoria roemeriana;2;L;F;NA
Septoria rohlenae;1;L;F;NA
Septoria rorippae;1;L;F;NA
Septoria rosae;1;L;F;NA
Septoria rosae-sinensis;1;L;F;NA
Septoria rubiae-tinctorum;1;L;F;NA
Septoria rubicola;1;L;F;NA
Septoria rudbeckiae;1;L;F;NA
Septoria rumicis;1;L;F;NA
Septoria rumicum;2;L;F;NA
Septoria sagittariae;1;L;F;NA
Septoria salicis;1;L;F;NA
Septoria salviae;1;L;F;NA
Septoria sambac;1;L;F;NA
Septoria sambucina;1;L;F;NA
Septoria saniculae;1;L;F;NA
Septoria sanzii;2;L;F;NA
Septoria saponariae;1;L;F;NA
Septoria saxifragae;1;L;F;NA
Septoria saxifragae-stellaris;1;L;F;NA
Septoria scabiosicola;9;L;F;NA
Septoria scabra;1;L;F;NA
Septoria schirajewskii;1;L;F;NA
Septoria scillae;4;L;F;NA
Septoria scopariae;1;F;F;NA
Septoria scutellariae;1;L;F;NA
Septoria secalis;1;L;F;NA
Septoria sedi;1;L;F;NA
Septoria sedicola;1;L;F;NA
Septoria seminalis;1;L;F;NA
Septoria senecionis;4;L;F;NA
Septoria serbica;1;L;F;NA
Septoria sibthorpiae;1;L;F;NA
Septoria sii;2;L;F;NA
Septoria silenes-nutantis;1;L;F;NA
Septoria sileris;1;L;F;NA
Septoria silybi;1;L;F;NA
Septoria sinapis;1;L;F;NA
Septoria sinapis-albae;1;L;F;NA
Septoria sisymbrii;3;L;F;NA
Septoria sleumeri;1;L;F;NA
Septoria smarodsii;1;L;F;NA
Septoria smilacis;1;L;F;NA
Septoria smyrnii;1;L;F;NA
Septoria sojina;1;L;F;NA
Septoria soldanellae;1;L;F;NA
Septoria sonchi;2;L;F;NA
Septoria sonchicola;1;L;F;NA
Septoria sonchifolia;1;L;F;NA
Septoria spartii;1;S;F;NA
Septoria spec.;1;L;F;NA
Septoria spinaciae;1;L;F;NA
Septoria stachydicola;1;L;F;NA
Septoria stachydis;1;L;F;NA
Septoria staphyleae;1;L;F;NA
Septoria staphysagriae;1;L;F;NA
Septoria stellariae;4;L;F;NA
Septoria stipata;1;L;F;NA
Septoria succisicola;1;L;F;NA
Septoria sylvicola;1;L;F;NA
Septoria symphyti;1;L;F;NA
Septoria syriacae;1;L;F;NA
Septoria syringae;1;L;F;NA
Septoria tami;1;L;F;NA
Septoria tanaceti;1;L;F;NA
Septoria taraxaci;1;L;F;NA
Septoria tau-saghyzi;1;L;F;NA
Septoria tenella;1;L;F;NA
Septoria teucrii;1;L;F;NA
Septoria thelygoni;1;L;F;NA
Septoria tibia;1;L;F;NA
Septoria tiliae;1;L;F;NA
Septoria tinctoriae;1;L;F;NA
Septoria tomates;1;L;F;NA
Septoria tormentillae;3;L;F;NA
Septoria torminalis;1;L;F;NA
Septoria tozziae;1;L;F;NA
Septoria trapae-natantis;1;L;F;NA
Septoria tremulae;1;L;F;NA
Septoria trientalis;1;L;F;NA
Septoria tritici var. lolicola;1;L;F;NA
Septoria tritici-cristati;1;L;F;NA
Septoria turcica;1;L;F;NA
Septoria ulmariae;1;L;F;NA
Septoria umbrosa;1;L;F;NA
Septoria undulispora;1;L;F;NA
Septoria unedonis var. vellanensis;2;L;F;NA
Septoria urticae;2;L;F;NA
Septoria urticae var. parietariae;1;L;F;NA
Septoria vaccariae;1;L;F;NA
Septoria vaccinii-uliginosi;1;L;F;NA
Septoria valerianae;2;L;F;NA
Septoria vandasii;1;L;F;NA
Septoria variegata;1;L;F;NA
Septoria vassiljevskii;1;L;F;NA
Septoria ventenatae;1;L;F;NA
Septoria verbenae;1;L;F;NA
Septoria veronicae;5;L;F;NA
Septoria versicolor;1;L;F;NA
Septoria viburni;1;L;F;NA
Septoria viciicola;1;L;F;NA
Septoria viciosoana;1;L;F;NA
Septoria villarsiae;1;L;F;NA
Septoria vincae;1;L;F;NA
Septoria vincetoxici;1;L;F;NA
Septoria vinea;1;L;F;NA
Septoria violae-palustris;2;L;F;NA
Septoria virgaureae;1;L;F;NA
Septoria viscariae;1;L;F;NA
Septoria voglinoana;1;L;F;NA
Septoria wahlenbergiae;1;L;F;NA
Septoria weigeliae;1;L;F;NA
Septoria wilsonii;1;L;F;NA
Septoria wistariae;1;L;F;NA
Septoria wodziczkiana;1;L;F;NA
Septoria xanthifoliae;1;L;F;NA
Septoria xanthii;1;L;F;NA
Septoria xylostei;1;L;F;NA
Septoria zimmermanni-hugonis;1;L;F;NA
Septoria ziziphi;1;L;F;NA
Septoria zygophylli;1;L;F;NA
Septoriella junci;4;L;F;NA
Septoriopsis citri;1;F;F;NA
Septotinia podophyllina;1;L;F;NA
Sericothrips bicornis;7;X;H;NA
Sericothrips staphylinus;13;L;V;NA
Sermylassa halensis;4;L;V;NA
Serratobruchidius albopictus;3;F;B;NA
Serratobruchidius jocosus;2;F;B;NA
Serratobruchidius meleagrinus;2;F;B;NA
Serratobruchidius quinqueguttatus;4;F;B;NA
Serratobruchidius rubiginosus;3;F;B;NA
Serratobruchidius serraticornis;2;seeds;B;NA
Sesamia cretica;5;S;B;NA
Sesamia nonagrioides;4;S;B;NA
Sesia apiformis;7;S;B;NA
Sesia bembeciformis;7;S;B;NA
Sesia melanocephala;1;S;B;NA
Sesia pimplaeformis;2;S;B;NA
Setoptus multigranulatus;1;L;V;NA
Setoptus pini;3;L;V;NA
Setoptus strobacus;1;L;V;NA
Seynesiella juniperi;1;L;P;NA
Sharpia rubida;2;X;B;NA
Sharpia soluta;1;U;U;NA
Shevtchenkella anchusae;1;L;V;NA
Shevtchenkella barensis;1;L;G;NA
Shevtchenkella brevisetosa;3;S;V;NA
Shevtchenkella bulgarica;1;L;G;NA
Shevtchenkella carinata;3;L;V;NA
Shevtchenkella cornifoliae;2;L;V;NA
Shevtchenkella erigerivagrans;2;L;V;NA
Shevtchenkella glabratae;2;L;V;NA
Shevtchenkella juglandis;1;L;V;NA
Shevtchenkella ligustri;2;L;V;NA
Shevtchenkella neglecta;2;L;V;NA
Shevtchenkella obtusa;2;L;V;NA
Shevtchenkella oleae;1;L;G;NA
Shevtchenkella pseudoobtusa;2;L;V;NA
Shevtchenkella serrata;4;L;V;NA
Shevtchenkella stevanovici;1;L;V;NA
Shevtchenkella ulmi;3;L;V;NA
Sibinia albosquamosa;1;U;U;NA
Sibinia arenariae;4;F;B;larva
Sibinia attalica;1;F;B;larva
Sibinia aureofulva;1;U;U;NA
Sibinia beckeri;2;F;B;NA
Sibinia exigua;1;U;U;NA
Sibinia femoralis;10;F;B;NA
Sibinia gallica;2;U;U;NA
Sibinia hopffgarteni;3;F;B;larva
Sibinia iberica;3;F;B;NA
Sibinia meridionalis;1;U;U;NA
Sibinia pellucens;6;F;G;NA
Sibinia phalerata;6;F;B;larva
Sibinia planiuscula;1;U;U;NA
Sibinia primita;4;X;G;NA
Sibinia pyrrhodactyla;3;F;B;larva
Sibinia sericea;1;U;U;NA
Sibinia sicana;1;F;B;larva
Sibinia sodalis;4;F;B;larva
Sibinia staticis;1;U;U;NA
Sibinia subelliptica;3;F;B;larva
Sibinia subtriangulifera;3;F;G;NA
Sibinia tibialis;3;F;B;larva
Sibinia tychiiformis;1;U;U;NA
Sibinia umbrosa;1;U;U;NA
Sibinia unicolor;4;F;B;larva
Sibinia variata;2;F;B;larva
Sibinia viscariae;7;F;B;larva
Sibinia vittata;7;F;B;larva
Siculaphis vittoriensis;2;L;V;NA
Sideridis kitti;4;L;V;NA
Sideridis lampra;3;L;V;NA
Sideridis reticulata;11;X;V;NA
Sideridis rivularis;6;F;B;NA
Sideridis turbida;6;L;V;NA
Sierraphytoptus alnivagrans;1;L;V;NA
Sierraphytoptus ambulans;2;L;V;NA
Silba adipata;1;F;B;NA
Silliana lhommei;2;L;M;NA
Silvacalles hakani;1;U;U;NA
Silvacalles nubilosus;1;U;U;NA
Silvacalles pedestris;4;U;U;NA
Silvestriola asphodeli;1;X;B;NA
Simacauda dicommatias;1;L;M;NA
Simo hirticornis;28;L;V;imago
Simo variegatus;3;L;V;imago
Simplaleurodes hemisphaerica;2;L;SC;NA
Simplimorpha promissa;7;L;M;NA
Simyra albovenosa;20;L;V;NA
Simyra dentinosa;2;L;V;NA
Singhiella citrifolii;2;L;SC;NA
Singhiella simplex;2;L;SC;NA
Sinobotys butleri;2;L;V;NA
Sinorhizobium meliloti;3;R;G;NA
Sinoxylon anale;1;DW;B;NA
Sinuothrips hasta;1;U;U;NA
Siobla ruficornis;3;L;V;NA
Siobla sturmii;2;L;V;NA
Siona lineata;20;L;V;NA
Sipha arenarii;3;L;V;NA
Sipha elegans;58;L;V;NA
Sipha flava;1;L;V;NA
Sipha glyceriae;63;L;V;NA
Sipha littoralis;6;S;V;NA
Sipha maydis;105;L;V;NA
Sipha praecocis;1;L;V;NA
Siphonatrophia cupressi;6;L;V;NA
Siphoninus finitimus;5;L;SC;NA
Siphoninus immaculatus;2;L;SC;NA
Siphoninus phillyreae;40;L;SC;NA
Sirex cyaneus;5;S;B;NA
Sirex juvencus;5;S;B;NA
Sirex noctilio;5;S;B;NA
Sirocalodes depressicollis;6;S;G;NA
